,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune,type
414,0.5261044176706827,0.3749377727508545,0.4604308009147644,0.6702011227607727,0.6633161744302731,7,46.0,3,1,decoder_base_orig,orig,no,decoder
415,0.6144578313253012,0.18435446918010712,0.3809208869934082,0.5564559698104858,0.6331836487187527,8,54.0,3,1,decoder_base_orig,orig,no,decoder
416,0.5863453815261044,0.23397475481033325,0.29582351446151733,0.558965265750885,0.6210640635447267,9,62.0,4,1,decoder_base_orig,orig,no,decoder
417,0.5180722891566265,0.3242492079734802,0.6088113784790039,0.7424679398536682,0.6693826627076088,10,69.0,4,1,decoder_base_orig,orig,no,decoder
418,0.6626506024096386,0.12401487678289413,0.2948656678199768,0.5178561210632324,0.6329156383070281,11,77.0,4,2,decoder_base_orig,orig,no,decoder
419,0.642570281124498,0.10761485993862152,0.22002199292182922,0.5292872190475464,0.6521848767355041,12,85.0,4,2,decoder_base_orig,orig,no,decoder
420,0.5783132530120482,0.020365051925182343,0.03710980713367462,0.3696659505367279,0.5155038569400306,13,92.0,4,1,decoder_base_orig,orig,no,decoder
421,0.5381526104417671,-1.5710988066075515e-11,1.5710988066075515e-11,0.32003316283226013,0.5098978855988809,1,0.0,1,1,decoder_large_orig,orig,no,decoder
422,0.5823293172690763,0.06483634561300278,0.33132484555244446,0.5802960991859436,0.6494020105326557,2,3.0,1,1,decoder_large_orig,orig,no,decoder
423,0.5020080321285141,0.02063668519258499,0.28108566999435425,0.5518695116043091,0.5991876112559223,3,5.0,1,1,decoder_large_orig,orig,no,decoder
424,0.5060240963855421,0.07675082236528397,0.22304105758666992,0.5118480920791626,0.5692189263909017,4,8.0,1,1,decoder_large_orig,orig,no,decoder
425,0.5100401606425703,0.07348620891571045,0.24284806847572327,0.5224189758300781,0.5884602389910786,5,11.0,1,1,decoder_large_orig,orig,no,decoder
426,0.5180722891566265,0.154769629240036,0.3049194812774658,0.5426920652389526,0.6004996121071317,6,14.0,1,1,decoder_large_orig,orig,no,decoder
427,0.5060240963855422,0.20707370340824127,0.32105767726898193,0.5522690415382385,0.6168865820204853,7,16.0,1,1,decoder_large_orig,orig,no,decoder
428,0.5180722891566265,0.24614128470420837,0.4065476059913635,0.6156678795814514,0.6381713912908593,8,19.0,1,1,decoder_large_orig,orig,no,decoder
429,0.5060240963855421,0.21050773561000824,0.4027363955974579,0.5999935865402222,0.644060446524217,9,22.0,2,1,decoder_large_orig,orig,no,decoder
430,0.5020080321285141,0.2885543704032898,0.494242787361145,0.6777234673500061,0.6494518283986764,10,24.0,2,1,decoder_large_orig,orig,no,decoder
431,0.5020080321285141,0.39732372760772705,0.5350857973098755,0.7024785280227661,0.6707790049086766,11,27.0,2,1,decoder_large_orig,orig,no,decoder
432,0.5060240963855422,0.3892766237258911,0.5397478342056274,0.7078894376754761,0.6524800976300281,12,30.0,2,1,decoder_large_orig,orig,no,decoder
433,0.5060240963855421,0.36868029832839966,0.553274393081665,0.7125018835067749,0.6679565384421111,13,32.0,2,1,decoder_large_orig,orig,no,decoder
434,0.6224899598393574,0.27482685446739197,0.3687672019004822,0.6238111853599548,0.6492855810377678,14,35.0,2,1,decoder_large_orig,orig,no,decoder
435,0.6265060240963856,0.20161990821361542,0.34847864508628845,0.5551679134368896,0.688412051988654,15,38.0,2,2,decoder_large_orig,orig,no,decoder
436,0.6586345381526104,0.20248115062713623,0.2661305069923401,0.5469557642936707,0.6821135058952785,16,41.0,2,2,decoder_large_orig,orig,no,decoder
437,0.6907630522088353,0.15455219149589539,0.2959023118019104,0.5996123552322388,0.6843521340251357,17,43.0,2,2,decoder_large_orig,orig,no,decoder
438,0.6746987951807228,0.2061852216720581,0.33500936627388,0.6079007387161255,0.6836370317885322,18,46.0,3,2,decoder_large_orig,orig,no,decoder
439,0.6827309236947792,0.16406652331352234,0.36922740936279297,0.6160817742347717,0.6752743689961163,19,49.0,3,2,decoder_large_orig,orig,no,decoder
440,0.6546184738955824,0.06567388027906418,0.1154756024479866,0.33367928862571716,0.6962945918532157,20,51.0,3,2,decoder_large_orig,orig,no,decoder
441,0.7188755020080321,0.21313296258449554,0.24736669659614563,0.4757581949234009,0.6627650215252759,21,54.0,3,2,decoder_large_orig,orig,no,decoder
442,0.6506024096385542,0.06407605856657028,0.08204098045825958,0.3671342134475708,0.686305319392902,22,57.0,3,2,decoder_large_orig,orig,no,decoder
443,0.6626506024096386,0.0737682431936264,0.08664018660783768,0.24834008514881134,0.6423002620272732,23,59.0,3,2,decoder_large_orig,orig,no,decoder
444,0.6586345381526104,0.04030226916074753,0.07611396908760071,0.34196874499320984,0.685616880758411,24,62.0,3,2,decoder_large_orig,orig,no,decoder
445,0.6907630522088354,0.3161984384059906,0.38945165276527405,0.5697553753852844,0.6810716964846595,25,65.0,3,2,decoder_large_orig,orig,no,decoder
446,0.6586345381526104,0.027000650763511658,0.08065515011548996,0.3229047656059265,0.6877221239100947,26,68.0,3,2,decoder_large_orig,orig,no,decoder
