,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune
62,0.7446808510638299,0.15067341923713684,0.27937620878219604,0.46724340319633484,0.6797196474311136,30,88.0,4,2,llama8b_not,not,no
63,0.7287234042553192,0.15242642164230347,0.22531114518642426,0.43127134442329407,0.6896689965421186,31,91.0,4,2,llama8b_not,not,no
64,0.7606382978723404,0.13238607347011566,0.39635419845581055,0.542443573474884,0.6753718273199971,32,94.0,4,3,llama8b_not,not,no
65,0.7340425531914894,0.20243465900421143,0.33572953939437866,0.5463619828224182,0.6953936754190243,33,97.0,4,2,llama8b_not,not,no
66,0.5381526104417671,0.0,0.0,0.3200344443321228,0.5098977307419637,1,0.0,1,1,llama8b_mixed,orig,no
67,0.5341365461847389,0.6802954077720642,0.7526388168334961,0.8419276475906372,0.6924350795696497,2,3.0,1,1,llama8b_mixed,orig,no
68,0.5381526104417671,0.7444972395896912,0.8047199845314026,0.8915892839431763,0.6972014915732354,3,6.0,1,1,llama8b_mixed,orig,no
69,0.6265060240963856,0.2715355157852173,0.45372799038887024,0.6448076963424683,0.7013122742903071,4,9.0,1,2,llama8b_mixed,orig,no
70,0.6626506024096386,0.054849475622177124,0.08175384998321533,0.36004000902175903,0.7031335217448504,5,12.0,1,2,llama8b_mixed,orig,no
71,0.6706827309236948,0.06219863146543503,0.08841253817081451,0.24458663165569305,0.5833878750028632,6,15.0,1,2,llama8b_mixed,orig,no
72,0.6827309236947792,0.029858838766813278,0.04023168981075287,0.2751357853412628,0.6970790177686339,7,18.0,1,2,llama8b_mixed,orig,no
73,0.6586345381526104,0.04337036609649658,0.06551017612218857,0.24657340347766876,0.6524257301759989,8,21.0,2,2,llama8b_mixed,orig,no
74,0.6546184738955824,0.03620355203747749,0.05792650207877159,0.2772354185581207,0.6780087080121727,9,24.0,2,2,llama8b_mixed,orig,no
75,0.6586345381526104,0.04013987258076668,0.07148416340351105,0.24057605862617493,0.6913161512900994,10,27.0,2,2,llama8b_mixed,orig,no
76,0.6546184738955823,0.03650624305009842,0.08517876267433167,0.22736313939094543,0.6970140382838012,11,30.0,2,2,llama8b_mixed,orig,no
77,0.6626506024096386,0.03795815631747246,0.04561430588364601,0.2663176655769348,0.683123218108536,12,33.0,2,2,llama8b_mixed,orig,no
78,0.6706827309236948,0.04926639795303345,0.05061173439025879,0.17252817749977112,0.6658345370623957,13,36.0,2,2,llama8b_mixed,orig,no
79,0.9397590361445783,0.07914435118436813,0.1656607687473297,0.35211506485939026,0.661712068472426,14,39.0,2,4,llama8b_mixed,orig,no
80,0.9477911646586346,0.0707407146692276,0.14012597501277924,0.336641788482666,0.64638427112503,15,42.0,2,4,llama8b_mixed,orig,no
81,0.9518072289156626,0.03980494663119316,0.1297166347503662,0.3024858832359314,0.6396357399745132,16,45.0,3,4,llama8b_mixed,orig,no
82,0.9477911646586346,0.05987963080406189,0.14283792674541473,0.3382914364337921,0.6476660231365228,17,48.0,3,4,llama8b_mixed,orig,no
83,0.9477911646586346,0.03939817100763321,0.12728163599967957,0.40419942140579224,0.5231631220711801,18,52.0,3,4,llama8b_mixed,orig,no
84,0.9477911646586346,0.07296668738126755,0.1483691781759262,0.4124358892440796,0.6291916983059398,19,55.0,3,4,llama8b_mixed,orig,no
85,0.9397590361445783,0.10457912087440491,0.1408165693283081,0.3684910535812378,0.6630759346192315,20,58.0,3,4,llama8b_mixed,orig,no
86,0.9437751004016064,0.08709795773029327,0.15684065222740173,0.39207252860069275,0.6622375573939224,21,61.0,3,4,llama8b_mixed,orig,no
87,0.9236947791164658,0.12553119659423828,0.1996053010225296,0.46275848150253296,0.5581632540887577,22,64.0,3,4,llama8b_mixed,orig,no
88,0.927710843373494,0.09174176305532455,0.15939317643642426,0.38097450137138367,0.6427428650083867,23,67.0,3,4,llama8b_mixed,orig,no
89,0.8995983935742972,0.09682952612638474,0.19828110933303833,0.4582429826259613,0.6461980696003133,24,70.0,4,4,llama8b_mixed,orig,no
90,0.9116465863453815,0.0978347659111023,0.1956784725189209,0.4484385848045349,0.6485602150601695,25,73.0,4,4,llama8b_mixed,orig,no
91,0.9116465863453815,0.12677918374538422,0.19469565153121948,0.4241732060909271,0.6517557350563375,26,76.0,4,4,llama8b_mixed,orig,no
